time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
12-31 12:00,-2.8473172166666667,-3.2003487,-3.0650429666666668,-2.95486175,-2.8425057,-3.2063453666666666,-3.0952981166666667,-2.967736883333333,-2.8625462833333333,-3.2344108333333335,-3.1040403666666667,-2.9884890833333335,-2.8624575333333335,-3.2068771166666665,-3.090677433333333,-2.9647304333333335,-2.8546813999999996,-3.2266300666666665,-3.0892310166666666,-2.9795718833333336,-2.8731890333333334,-3.2299780166666663,-3.1303243333333333,-2.9988712333333334,-2.8740651833333337,-3.2400588666666668,-3.0955637666666664,-2.9871492833333333,-2.882985666666667,-3.2260999666666668,-3.1240811166666664
01-01 12:00,-3.32429165,-3.6710979166666666,-3.53997845,-3.428600566666667,-3.3173153833333333,-3.67989745,-3.5667051333333335,-3.44235895,-3.3391187333333336,-3.704225,-3.5781463833333333,-3.4626418833333332,-3.3368728,-3.6802921,-3.5620339833333334,-3.4382776,-3.33117335,-3.6960779333333336,-3.5624850833333332,-3.4536694166666666,-3.3466311833333333,-3.70270035,-3.6018385833333335,-3.4719764166666667,-3.3508863166666667,-3.70960365,-3.5680221666666667,-3.461335333333333,-3.356044433333333,-3.6982103333333334,-3.5956542833333334
01-02 12:00,-3.7958084166666666,-4.136469233333333,-4.0096333,-3.8967626666666666,-3.7872403833333332,-4.147760716666666,-4.032526533333334,-3.9120128500000004,-3.810264783333333,-4.168529533333333,-4.047031266666667,-3.931148966666667,-3.8062959666666667,-4.1481247,-4.02769495,-3.9068557166666666,-3.8023094666666664,-4.15988835,-4.030592133333333,-3.9221004166666664,-3.8149739,-4.16994045,-4.067556933333333,-3.940050583333333,-3.8224142999999997,-4.173379783333333,-4.0353512333333335,-3.92987325,-3.8238772333333335,-4.164929266666666,-4.061383316666666
01-03 12:00,-4.2613386166666665,-4.596022816666666,-4.4733942,-4.358887883333334,-4.251793433333334,-4.609348433333333,-4.492336316666667,-4.3761426666666665,-4.275435083333333,-4.626894916666667,-4.51009885,-4.393530633333333,-4.270257383333333,-4.6097772,-4.487222616666667,-4.3699361,-4.267522366666666,-4.6176407,-4.49297695,-4.384361083333333,-4.2777592,-4.631093699999999,-4.527029150000001,-4.402592666666666,-4.288070916666666,-4.630964533333333,-4.496994150000001,-4.3922353166666666,-4.2860312333333335,-4.625665333333333,-4.520799066666667
01-04 12:00,-4.7203743000000005,-5.049324516666667,-4.9306597000000005,-4.814532016666666,-4.710490050000001,-5.064094866666666,-4.945722166666667,-4.834195533333333,-4.734099,-5.078900583333334,-4.966758166666667,-4.849326516666666,-4.728294633333333,-5.064667966666667,-4.94019745,-4.826990316666667,-4.7262593,-5.0689268,-4.949064283333333,-4.839970233333333,-4.7345402,-5.08556295,-4.979825583333334,-4.859101016666667,-4.7472897666666665,-5.081951849999999,-4.9523925166666665,-4.8479159166666665,-4.7420675,-5.079827016666667,-4.973455633333333
01-05 12:00,-5.172429883333334,-5.495941566666667,-5.380850383333334,-5.2632642,-5.162847683333334,-5.51146175,-5.392281966666667,-5.285626433333333,-5.1857474833333335,-5.52413045,-5.416432416666667,-5.298093116666666,-5.179950766666667,-5.512238916666666,-5.386214466666667,-5.277493916666667,-5.177985816666666,-5.51334675,-5.398285916666667,-5.288467666666667,-5.184879166666667,-5.532769366666667,-5.4255332,-5.309075666666667,-5.199520333333334,-5.525948816666667,-5.40099255,-5.2964314833333335,-5.1915593,-5.52683255,-5.418926666666667
01-06 12:00,-5.617044416666667,-5.9354385999999995,-5.823416616666666,-5.7046655,-5.608384166666666,-5.950943633333334,-5.83161975,-5.7299019,-5.6298965,-5.962168416666667,-5.858566866666666,-5.739402316666667,-5.62477165,-5.951962183333333,-5.82487935,-5.720929483333333,-5.622190366666667,-5.950504216666667,-5.840087783333333,-5.7294131,-5.62834465,-5.972161716666666,-5.8637523499999995,-5.752020283333334,-5.644233099999999,-5.962571416666666,-5.8422511833333335,-5.737320666666666,-5.634089566666666,-5.9661203,-5.856802116666667
01-07 12:00,-6.053783083333333,-6.3673744333333335,-6.257843233333333,-6.138328666666666,-6.046616033333334,-6.382071116666666,-6.263341966666667,-6.166502166666667,-6.0660902000000005,-6.39259425,-6.2926342166666664,-6.17284105,-6.062302783333333,-6.383344533333333,-6.255805633333334,-6.156788983333333,-6.058388983333333,-6.380001583333334,-6.2739356,-6.162385866666667,-6.064507616666666,-6.403223466666666,-6.29409425,-6.1874433,-6.080924783333333,-6.391439616666667,-6.27564135,-6.1701448333333335,-6.069247233333333,-6.3971572666666665,-6.2866857666666665
01-08 12:00,-6.482238683333334,-6.791299866666666,-6.683651233333333,-6.5638590500000005,-6.477057149999999,-6.8044123333333335,-6.68705425,-6.594922749999999,-6.4939035333333335,-6.8149808,-6.718137866666667,-6.59801165,-6.492086666666666,-6.80592945,-6.6786121,-6.584574583333334,-6.48612985,-6.8014361333333335,-6.6993193,-6.586985033333334,-6.492937716666666,-6.825476266666667,-6.716179833333333,-6.614858483333333,-6.509123533333334,-6.812172166666667,-6.700655483333334,-6.5944893166666665,-6.49662295,-6.8194445,-6.708194116666666
01-09 12:00,-6.902031433333334,-7.206757499999999,-7.1003974,-6.980875816666667,-6.8992185,-7.2175719166666665,-7.1023601166666674,-7.014674883333333,-6.912943116666667,-7.228893299999999,-7.13461285,-7.014533233333333,-6.913660783333333,-7.219297766666667,-7.092921583333333,-7.003799516666667,-6.9049966000000005,-7.2143980999999995,-7.115755483333333,-7.0028302333333325,-6.913200016666667,-7.23848125,-7.1296389,-7.033785183333333,-6.928393,-7.224382783333334,-7.11680795,-7.009964216666666,-6.91580535,-7.232519516666667,-7.120956016666667
