HIP,_RA_icrs,_DE_icrs,Vmag,Plx,ecl_lat
76880,235.48665872,-19.67882804,4.75,8.16,-0.019292082422480112
78990,241.8513642,-20.8687642,4.31,12.32,0.050936136375627813
42911,131.17124835,18.15430871,3.94,23.97,0.07716360543657706
92761,283.54240472,-22.74483405,4.86,1.76,0.11005656931751395
51624,158.20279933,9.30658558,3.84,0.57,0.14973015086970154
28734,91.03006202,23.26334108,4.16,21.64,-0.17256644181871506
35550,110.03073983,21.98232055,3.5,55.45,-0.1783945862626901
53824,165.1866767,6.10144936,4.98,21.61,-0.20657191860092242
78933,241.70177456,-20.66919247,3.93,7.7,0.22063366923848468
89153,272.93055404,-23.70123522,4.96,13.35,-0.2892356705608579
72622,222.71963807,-16.04177818,2.75,42.25,0.3330718708422026
88116,269.94813871,-23.81613352,4.74,7.47,-0.37685095033093435
112961,343.15364976,-7.57959928,3.73,8.33,-0.3866361824696597
80975,248.03416357,-21.46638977,4.45,18.66,0.43281935441485037
49669,152.0929611,11.96720706,1.36,42.09,0.46483677191573486
69974,214.77746494,-13.37109491,4.52,17.47,0.4906720097166661
55945,171.98433339,2.85626541,4.95,5.25,-0.5546320625070602
104139,316.48678349,-17.23286077,4.08,20.61,-0.5859144482123814
20635,66.34235536,22.2938737,4.21,21.27,0.6268620093667646
85755,262.85397499,-23.96264331,4.78,7.65,-0.6851354828819324
57757,177.67382733,1.76471793,3.59,91.74,0.6942526162549711
21881,70.56125702,22.95692604,4.27,8.14,0.7138991250220648
19990,64.31525283,20.57859097,4.93,34.87,-0.7513075664930917
30343,95.74011257,22.51358585,2.87,14.07,-0.8201237442971332
93683,286.1707572,-21.74149568,3.76,23.49,0.8600199733305458
29655,93.71940501,22.50679887,3.31,9.34,-0.8881384793521384
85340,261.59256716,-24.17530951,4.16,38.96,-0.9594880391881365
78820,241.35929462,-19.80545336,2.56,6.15,1.007766201845393
24822,79.81917563,22.09649397,4.96,15.83,-1.0102356697628987
78821,241.36064081,-19.80186007,4.9,2.88,1.0115350771676377
114724,348.58066516,-6.04900282,4.22,14.68,-1.0523927781503344
4906,15.73586845,7.89013546,4.27,17.14,1.093804588275946
20711,66.57693136,22.81358255,4.28,21.07,1.1055477558749809
27468,87.25403003,24.5675349,4.88,6.25,1.1520489375364207
